feature,importance
cat__ethnicity_White,0.08714939
cat__education_level_Master,0.064463645
cat__business_unit_Tech,0.046099607
cat__ethnicity_Hispanic,0.03745152
cat__last_training_date_31/1/2023,0.029591553
cat__job_title_Senior Analyst,0.028995374
cat__high_potential_flag_1,0.027972084
cat__last_training_date_30/5/2020,0.027169859
cat__marital_status_Married,0.025874283
cat__last_training_date_28/4/2023,0.024470964
cat__location_Remote,0.019779237
"cat__location_Seattle, WA",0.019055044
cat__education_level_Bachelor,0.016322844
num__months_since_hire,0.015489552
cat__last_training_date_28/12/2021,0.015451658
cat__cost_center_CC1015,0.014303235
cat__education_level_High School,0.013607934
cat__last_training_date_29/2/2024,0.013505193
cat__cost_center_CC1013,0.012919649
cat__job_title_Manager,0.012480351
cat__high_potential_flag_1/1/1900,0.011047073
cat__cost_center_CC1011,0.011015677
cat__department_Marketing,0.010492964
cat__cost_center_CC1016,0.010409439
"cat__location_San Francisco, CA",0.010353325
cat__job_title_Senior Manager,0.010159785
cat__last_training_date_31/1/2024,0.00978307
cat__last_training_date_30/4/2021,0.009506969
cat__marital_status_Single,0.009335303
cat__high_potential_flag_0,0.009211562
cat__exemption_status_Non-exempt,0.008555104
num__personal_leave,0.008084992
cat__employment_type_Full-time,0.00798033
cat__cost_center_CC1018,0.007747212
cat__marital_status_Widowed,0.00764405
cat__job_title_Director,0.0076343818
cat__job_title_VP,0.0076125357
cat__ethnicity_Other,0.0075503993
cat__job_title_Senior Director,0.007390142
num__training_count,0.0072502736
cat__last_training_date_30/6/2020,0.007239325
cat__last_training_date_28/9/2021,0.0069785006
cat__last_training_date_28/3/2023,0.006940466
cat__department_Product,0.0064234296
cat__cost_center_CC1010,0.0062733176
"cat__location_Austin, TX",0.00626743
cat__cost_center_CC1001,0.005996724
cat__last_training_date_30/7/2021,0.0057168365
cat__last_training_date_31/5/2022,0.005649503
cat__business_unit_Commercial,0.005475437
"cat__location_New York, NY",0.0053677717
cat__cost_center_CC1014,0.00525537
cat__job_title_Analyst,0.005215281
cat__cost_center_CC1009,0.0051487335
num__parental_leave,0.0050227414
cat__last_training_date_30/7/2023,0.004711394
cat__last_training_date_30/11/2020,0.0047074948
cat__marital_status_Divorced,0.004625086
cat__cost_center_CC1019,0.0046065813
num__fte,0.004575242
cat__last_training_date_30/10/2019,0.004533536
cat__department_Sales,0.0044618547
cat__last_training_date_30/11/2023,0.0044166367
cat__cost_center_CC1008,0.004272592
num__equity_pct,0.004019743
num__job_level,0.003983714
cat__department_Operations,0.0038473776
cat__last_training_date_30/3/2021,0.0037853117
cat__cost_center_CC1005,0.0035950453
num__bonus_pct,0.0035781334
num__veteran_status,0.0035112028
num__age,0.0034503848
cat__last_training_date_30/4/2023,0.0034307046
num__disability_status,0.0033524898
cat__education_level_PhD,0.0032754226
cat__education_level_Associate,0.0030519306
num__promotion_count,0.0030045663
num__base_salary,0.0028881
num__aihr_certified,0.0028008858
cat__last_training_date_30/8/2020,0.00255756
num__months_since_last_training,0.0024923247
cat__ethnicity_Black,0.00245492
cat__last_training_date_30/12/2021,0.0024077338
cat__cost_center_CC1006,0.0023877418
num__tenure_months,0.0023425804
num__sick_leave,0.0023341097
num__vacation_leave,0.002304438
num__equity_grant,0.0022130653
cat__business_unit_Corporate,0.0022055025
cat__last_training_date_29/2/2020,0.0021899976
cat__last_training_date_30/4/2024,0.0021656845
cat__department_Support,0.0021017948
cat__last_training_date_30/9/2020,0.0019871658
cat__last_training_date_30/7/2020,0.001975393
cat__department_Customer Success,0.0018678323
cat__last_training_date_30/6/2021,0.0018306248
cat__cost_center_CC1003,0.001826765
cat__department_Engineering,0.0017566563
cat__employment_type_Contractor,0.001733487
cat__last_training_date_31/8/2022,0.0016728106
cat__last_training_date_30/9/2019,0.0016543402
cat__ethnicity_Asian,0.0016076524
num__engagement_score,0.0015843984
cat__last_training_date_30/1/2021,0.0015798123
cat__last_training_date_29/9/2020,0.0015748367
num__current_salary,0.0015432698
num__performance_rating,0.0015085168
cat__exemption_status_Exempt,0.001406076
cat__last_training_date_31/3/2023,0.0013996727
cat__cost_center_CC1017,0.0013967964
cat__last_training_date_30/8/2021,0.0013590384
cat__last_training_date_28/2/2022,0.0013002835
cat__last_training_date_31/7/2023,0.0012857473
cat__last_training_date_30/3/2024,0.0012793272
cat__last_training_date_30/4/2022,0.0012779143
cat__cost_center_CC1000,0.0012500862
cat__last_training_date_28/9/2023,0.0012274882
